time,open,high,low,close,tick_volume,spread,real_volume
2025-01-31 10:15:00,0.94635,0.94637,0.94574,0.94591,480,17,0
2025-01-31 10:30:00,0.94592,0.9461,0.94563,0.94604,472,17,0
2025-01-31 10:45:00,0.94603,0.94628,0.94581,0.94589,471,17,0
2025-01-31 11:00:00,0.94522,0.94548,0.94477,0.94507,805,17,0
2025-01-31 11:15:00,0.94509,0.94514,0.94472,0.94483,559,17,0
2025-01-31 11:30:00,0.94482,0.94515,0.94471,0.9451,453,17,0
2025-01-31 11:45:00,0.94511,0.9457,0.94502,0.94557,378,17,0
2025-01-31 12:00:00,0.94557,0.94558,0.94507,0.94509,498,17,0
2025-01-31 12:15:00,0.94512,0.94539,0.94511,0.94524,386,6,0
2025-01-31 12:30:00,0.94524,0.94541,0.94515,0.94538,369,17,0
2025-01-31 12:45:00,0.94539,0.94553,0.94522,0.94526,386,17,0
2025-01-31 13:00:00,0.94527,0.94534,0.94507,0.94519,300,4,0
2025-01-31 13:15:00,0.94519,0.94535,0.94489,0.94498,362,17,0
2025-01-31 13:30:00,0.94497,0.94504,0.94479,0.94497,280,17,0
2025-01-31 13:45:00,0.94498,0.94505,0.94479,0.94499,348,17,0
2025-01-31 14:00:00,0.94501,0.94519,0.94464,0.94474,358,17,0
2025-01-31 14:15:00,0.94475,0.94548,0.94474,0.94539,335,17,0
2025-01-31 14:30:00,0.9454,0.94543,0.94508,0.9452,325,17,0
2025-01-31 14:45:00,0.94519,0.9452,0.94458,0.9446,301,17,0
2025-01-31 15:00:00,0.94463,0.9452,0.94456,0.94519,530,17,0
2025-01-31 15:15:00,0.94522,0.94543,0.94502,0.94513,477,17,0
2025-01-31 15:30:00,0.94512,0.94545,0.94481,0.94489,631,16,0
2025-01-31 15:45:00,0.94489,0.94493,0.94461,0.94468,475,17,0
2025-01-31 16:00:00,0.94469,0.94484,0.9442,0.94434,472,17,0
2025-01-31 16:15:00,0.94435,0.94436,0.94373,0.94419,542,17,0
2025-01-31 16:30:00,0.94421,0.94439,0.9439,0.94427,564,19,0
2025-01-31 16:45:00,0.94426,0.9444,0.94339,0.94339,638,17,0
2025-01-31 17:00:00,0.94341,0.94343,0.94269,0.94315,619,17,0
2025-01-31 17:15:00,0.94316,0.94354,0.94272,0.94352,558,18,0
2025-01-31 17:30:00,0.94354,0.94416,0.94348,0.94397,585,17,0
2025-01-31 17:45:00,0.94397,0.94441,0.94299,0.944,886,17,0
