time,open,high,low,close,tick_volume,spread,real_volume
2025-01-31 10:15:00,160.844,160.848,160.606,160.677,932,15,0
2025-01-31 10:30:00,160.682,160.79,160.587,160.604,912,20,0
2025-01-31 10:45:00,160.603,160.633,160.491,160.546,813,20,0
2025-01-31 11:00:00,160.535,160.535,160.173,160.328,1299,18,0
2025-01-31 11:15:00,160.328,160.351,160.201,160.27,979,20,0
2025-01-31 11:30:00,160.271,160.457,160.265,160.437,901,20,0
2025-01-31 11:45:00,160.441,160.643,160.41,160.643,782,15,0
2025-01-31 12:00:00,160.644,160.648,160.531,160.542,868,16,0
2025-01-31 12:15:00,160.546,160.653,160.544,160.625,743,9,0
2025-01-31 12:30:00,160.624,160.639,160.526,160.607,751,20,0
2025-01-31 12:45:00,160.609,160.637,160.488,160.491,713,20,0
2025-01-31 13:00:00,160.492,160.529,160.47,160.496,671,17,0
2025-01-31 13:15:00,160.498,160.518,160.375,160.487,654,20,0
2025-01-31 13:30:00,160.485,160.607,160.46,160.587,723,20,0
2025-01-31 13:45:00,160.588,160.658,160.514,160.652,730,20,0
2025-01-31 14:00:00,160.656,160.723,160.628,160.651,814,20,0
2025-01-31 14:15:00,160.65,160.806,160.623,160.773,719,17,0
2025-01-31 14:30:00,160.775,160.782,160.69,160.749,761,20,0
2025-01-31 14:45:00,160.746,160.793,160.674,160.743,658,20,0
2025-01-31 15:00:00,160.738,160.993,160.711,160.965,1025,20,0
2025-01-31 15:15:00,160.97,160.998,160.738,160.74,936,20,0
2025-01-31 15:30:00,160.781,160.898,160.673,160.715,1160,14,0
2025-01-31 15:45:00,160.715,160.749,160.62,160.707,1012,20,0
2025-01-31 16:00:00,160.707,160.707,160.58,160.633,1049,20,0
2025-01-31 16:15:00,160.64,160.691,160.593,160.657,1009,20,0
2025-01-31 16:30:00,160.66,160.683,160.491,160.506,1073,20,0
2025-01-31 16:45:00,160.519,160.546,160.276,160.318,1084,20,0
2025-01-31 17:00:00,160.321,160.349,160.196,160.341,1128,20,0
2025-01-31 17:15:00,160.343,160.39,160.248,160.367,1102,20,0
2025-01-31 17:30:00,160.372,160.677,160.35,160.609,1090,20,0
2025-01-31 17:45:00,160.606,161.039,160.592,160.947,1340,20,0
2025-01-31 18:00:00,160.948,161.002,160.884,160.917,1160,20,0
2025-01-31 18:15:00,160.918,161.035,160.906,161.029,952,20,0
2025-01-31 18:30:00,161.03,161.286,160.997,161.213,1076,20,0
2025-01-31 18:45:00,161.216,161.22,161.097,161.107,807,20,0
2025-01-31 19:00:00,161.108,161.49,161.008,161.45,1092,20,0
2025-01-31 19:15:00,161.451,161.451,161.226,161.405,1231,20,0
2025-01-31 19:30:00,161.414,161.427,161.287,161.297,1002,20,0
2025-01-31 19:45:00,161.298,161.301,161.189,161.251,981,20,0
2025-01-31 20:00:00,161.249,161.328,161.225,161.303,830,20,0
2025-01-31 20:15:00,161.302,161.338,160.967,161.07,1310,20,0
2025-01-31 20:30:00,161.048,161.074,160.753,160.889,1410,20,0
2025-01-31 20:45:00,160.888,160.991,160.846,160.868,1083,20,0
2025-01-31 21:00:00,160.863,160.891,160.684,160.795,1045,20,0
2025-01-31 21:15:00,160.793,160.827,160.715,160.771,905,20,0
2025-01-31 21:30:00,160.785,160.856,160.773,160.807,958,20,0
2025-01-31 21:45:00,160.809,161.041,160.762,160.968,993,20,0
2025-01-31 22:00:00,160.97,160.994,160.885,160.957,989,20,0
2025-01-31 22:15:00,160.958,160.964,160.881,160.948,921,20,0
2025-01-31 22:30:00,160.951,161.038,160.951,161.025,801,20,0
2025-01-31 22:45:00,161.026,161.069,160.825,160.88,1113,20,0
2025-01-31 23:00:00,160.871,161.013,160.467,160.51,1315,20,0
2025-01-31 23:15:00,160.509,160.849,160.507,160.822,917,20,0
2025-01-31 23:30:00,160.824,160.824,160.675,160.736,825,20,0
2025-01-31 23:45:00,160.737,160.83,160.671,160.81,521,26,0
2025-02-03 00:00:00,158.611,158.913,158.237,158.913,503,91,0
2025-02-03 00:15:00,158.912,159.127,158.824,158.891,83,42,0
2025-02-03 00:30:00,158.908,158.929,158.68,158.872,92,104,0
2025-02-03 00:45:00,158.87,158.991,158.749,158.878,227,57,0
