time,open,high,low,close,tick_volume,spread,real_volume
2021-02-01 00:00:00,1.5506,1.55187,1.54921,1.55096,729,59,0
2021-02-01 01:00:00,1.55095,1.5539399999999999,1.55064,1.55183,4261,6,0
2021-02-01 02:00:00,1.55183,1.55205,1.55096,1.5516999999999999,3710,3,0
2021-02-01 03:00:00,1.55171,1.5517400000000001,1.55035,1.55083,4510,1,0
2021-02-01 04:00:00,1.5508199999999999,1.55085,1.5499399999999999,1.54997,3382,4,0
2021-02-01 05:00:00,1.55,1.55011,1.54914,1.54932,3052,3,0
2021-02-01 06:00:00,1.54934,1.54982,1.54901,1.54908,2670,6,0
2021-02-01 07:00:00,1.54908,1.5492,1.54814,1.54846,2593,3,0
2021-02-01 08:00:00,1.54848,1.5487,1.54817,1.54847,2291,3,0
2021-02-01 09:00:00,1.54844,1.54938,1.5476999999999999,1.54904,4432,1,0
2021-02-01 10:00:00,1.54904,1.54954,1.54735,1.54756,6947,0,0
2021-02-01 11:00:00,1.54756,1.5480399999999999,1.5464799999999999,1.54691,5356,0,0
2021-02-01 12:00:00,1.54688,1.54733,1.5455299999999998,1.5465,4467,0,0
2021-02-01 13:00:00,1.54651,1.5473599999999998,1.54555,1.5472299999999999,4421,0,0
2021-02-01 14:00:00,1.54725,1.54762,1.54603,1.54627,4972,0,0
2021-02-01 15:00:00,1.54627,1.54942,1.54618,1.5489000000000002,5061,0,0
2021-02-01 16:00:00,1.54891,1.54965,1.54719,1.54844,7060,0,0
2021-02-01 17:00:00,1.54844,1.55126,1.54805,1.55107,7861,0,0
2021-02-01 18:00:00,1.5510899999999999,1.55126,1.5479500000000002,1.54802,5871,0,0
2021-02-01 19:00:00,1.54802,1.54977,1.5474,1.5484,4604,0,0
2021-02-01 20:00:00,1.5484,1.5496699999999999,1.5472299999999999,1.5485600000000002,4112,0,0
2021-02-01 21:00:00,1.54857,1.5497800000000002,1.5476,1.54972,3990,0,0
2021-02-01 22:00:00,1.5496699999999999,1.5511300000000001,1.54902,1.5505900000000001,4246,0,0
2021-02-01 23:00:00,1.55061,1.55119,1.54901,1.54902,2018,3,0
2021-02-02 00:00:00,1.549,1.55016,1.54881,1.54943,556,42,0
2021-02-02 01:00:00,1.54942,1.5506600000000001,1.5493299999999999,1.55065,1548,4,0
2021-02-02 02:00:00,1.55057,1.55141,1.5503200000000001,1.55119,3113,4,0
2021-02-02 03:00:00,1.55117,1.55117,1.54927,1.5501399999999999,3707,2,0
2021-02-02 04:00:00,1.55016,1.5509300000000001,1.5497100000000001,1.54986,2634,0,0
2021-02-02 05:00:00,1.54986,1.55074,1.54939,1.54972,3039,1,0
2021-02-02 06:00:00,1.5497100000000001,1.55022,1.54955,1.54968,1898,2,0
2021-02-02 07:00:00,1.54968,1.54986,1.54878,1.5491000000000001,2329,3,0
2021-02-02 08:00:00,1.5491000000000001,1.54914,1.54833,1.54843,2450,1,0
2021-02-02 09:00:00,1.54844,1.54867,1.54757,1.54791,4266,0,0
2021-02-02 10:00:00,1.5479,1.54854,1.54507,1.54624,6151,0,0
2021-02-02 11:00:00,1.54623,1.54623,1.54317,1.5436100000000001,4189,1,0
2021-02-02 12:00:00,1.5436299999999998,1.54386,1.54024,1.54135,5591,0,0
2021-02-02 13:00:00,1.54135,1.5423,1.5409000000000002,1.54179,4149,0,0
2021-02-02 14:00:00,1.54179,1.54288,1.5406499999999999,1.5427,3755,0,0
2021-02-02 15:00:00,1.54271,1.5444200000000001,1.54192,1.54441,5658,0,0
2021-02-02 16:00:00,1.5444,1.5476100000000002,1.54382,1.54617,7728,0,0
2021-02-02 17:00:00,1.54627,1.54692,1.54306,1.5433,7127,0,0
2021-02-02 18:00:00,1.5433400000000002,1.5436299999999998,1.5402200000000001,1.54028,5027,1,0
2021-02-02 19:00:00,1.54026,1.54109,1.54001,1.54024,4071,0,0
2021-02-02 20:00:00,1.54025,1.54087,1.5395400000000001,1.53956,2568,0,0
2021-02-02 21:00:00,1.5395699999999999,1.54009,1.53908,1.53914,2728,1,0
2021-02-02 22:00:00,1.53915,1.54035,1.5389300000000001,1.5399,2996,0,0
