time,open,high,low,close,tick_volume,spread,real_volume
2021-02-01 00:00:00,1.07856,1.07997,1.07856,1.07936,760,112,0
2021-02-01 01:00:00,1.07936,1.08113,1.07929,1.08071,1427,9,0
2021-02-01 02:00:00,1.08071,1.08095,1.08055,1.08059,858,4,0
2021-02-01 03:00:00,1.08057,1.08106,1.08056,1.08076,1195,4,0
2021-02-01 04:00:00,1.08076,1.08155,1.08076,1.08154,719,3,0
2021-02-01 05:00:00,1.08154,1.08186,1.08147,1.08157,888,5,0
2021-02-01 06:00:00,1.08156,1.08182,1.08145,1.08168,800,3,0
2021-02-01 07:00:00,1.08168,1.08173,1.08147,1.08166,538,3,0
2021-02-01 08:00:00,1.08166,1.08178,1.08124,1.08137,670,4,0
2021-02-01 09:00:00,1.08137,1.08184,1.08119,1.08171,1677,0,0
2021-02-01 10:00:00,1.08171,1.0825,1.0809,1.08213,3674,0,0
2021-02-01 11:00:00,1.08213,1.08256,1.08178,1.08211,3466,1,0
2021-02-01 12:00:00,1.08211,1.08254,1.0812,1.08195,3108,0,0
2021-02-01 13:00:00,1.08195,1.08249,1.08131,1.08153,2118,0,0
2021-02-01 14:00:00,1.08154,1.08202,1.0811,1.08117,2857,1,0
2021-02-01 15:00:00,1.08117,1.08268,1.08117,1.0825,3010,1,0
2021-02-01 16:00:00,1.08251,1.08273,1.08193,1.08202,3234,0,0
2021-02-01 17:00:00,1.08202,1.08241,1.08094,1.08229,4083,0,0
2021-02-01 18:00:00,1.08229,1.08247,1.08172,1.08207,2683,0,0
2021-02-01 19:00:00,1.08206,1.08222,1.08166,1.08196,1986,2,0
2021-02-01 20:00:00,1.08196,1.08215,1.08179,1.0821,1554,1,0
2021-02-01 21:00:00,1.0821,1.08245,1.0820400000000001,1.08217,1296,2,0
2021-02-01 22:00:00,1.08216,1.08225,1.08166,1.08179,1972,3,0
2021-02-01 23:00:00,1.08179,1.08193,1.08152,1.08192,906,3,0
2021-02-02 00:00:00,1.08135,1.08192,1.0806499999999999,1.08178,399,25,0
2021-02-02 01:00:00,1.08176,1.08209,1.08167,1.08193,828,7,0
2021-02-02 02:00:00,1.08193,1.08225,1.0818,1.08217,1061,3,0
2021-02-02 03:00:00,1.08217,1.08263,1.08199,1.08253,1658,1,0
2021-02-02 04:00:00,1.08253,1.08268,1.08235,1.08258,917,5,0
2021-02-02 05:00:00,1.08258,1.08273,1.08246,1.0826500000000001,1144,4,0
2021-02-02 06:00:00,1.0826500000000001,1.08289,1.0826,1.0828,692,5,0
2021-02-02 07:00:00,1.0828,1.0829,1.0826,1.08282,624,1,0
2021-02-02 08:00:00,1.08282,1.08286,1.08243,1.0825,713,4,0
2021-02-02 09:00:00,1.08253,1.08313,1.08235,1.08299,1429,3,0
2021-02-02 10:00:00,1.08299,1.08327,1.08118,1.08161,2507,0,0
2021-02-02 11:00:00,1.08161,1.08171,1.081,1.0814,1788,1,0
2021-02-02 12:00:00,1.08138,1.08155,1.08015,1.08061,3301,0,0
2021-02-02 13:00:00,1.08061,1.08091,1.07988,1.08045,1828,0,0
2021-02-02 14:00:00,1.08046,1.08087,1.08012,1.08017,2160,1,0
2021-02-02 15:00:00,1.08017,1.08127,1.08003,1.08092,2872,2,0
2021-02-02 16:00:00,1.08092,1.08175,1.08081,1.08135,3582,2,0
2021-02-02 17:00:00,1.08134,1.08156,1.0808,1.08105,3495,0,0
2021-02-02 18:00:00,1.08105,1.08116,1.08025,1.08029,2592,1,0
2021-02-02 19:00:00,1.08029,1.08072,1.08008,1.08024,2486,2,0
2021-02-02 20:00:00,1.08023,1.08052,1.08018,1.08028,1985,1,0
2021-02-02 21:00:00,1.08028,1.08045,1.08013,1.08018,1260,4,0
2021-02-02 22:00:00,1.08018,1.08098,1.0801,1.08074,1506,2,0
2021-02-02 23:00:00,1.08074,1.0812,1.08039,1.08039,1280,3,0
2021-02-03 00:00:00,1.08038,1.081,1.08017,1.0808,367,31,0
2021-02-03 01:00:00,1.08078,1.0812599999999999,1.08071,1.08083,532,9,0
2021-02-03 02:00:00,1.08083,1.08123,1.08074,1.08096,668,7,0
2021-02-03 03:00:00,1.08096,1.08109,1.0808,1.08088,1133,6,0
2021-02-03 04:00:00,1.08088,1.08116,1.0808200000000001,1.08111,599,4,0
2021-02-03 05:00:00,1.08111,1.08116,1.08099,1.08103,492,6,0
2021-02-03 06:00:00,1.08103,1.08122,1.081,1.0812,436,4,0
2021-02-03 07:00:00,1.0812,1.08133,1.08106,1.0812,449,3,0
2021-02-03 08:00:00,1.0812,1.08137,1.08114,1.08129,511,3,0
2021-02-03 09:00:00,1.0813,1.08135,1.0806,1.081,1495,2,0
2021-02-03 10:00:00,1.081,1.08185,1.081,1.08128,1730,4,0
2021-02-03 11:00:00,1.08128,1.0815,1.08032,1.08056,2633,0,0
2021-02-03 12:00:00,1.08056,1.08124,1.08047,1.0807,2113,1,0
2021-02-03 13:00:00,1.0807,1.08085,1.08015,1.08019,932,1,0
2021-02-03 14:00:00,1.08019,1.08062,1.07999,1.08005,2146,3,0
2021-02-03 15:00:00,1.08004,1.08043,1.07958,1.08001,2334,2,0
2021-02-03 16:00:00,1.08,1.08159,1.07983,1.08135,2669,2,0
2021-02-03 17:00:00,1.08129,1.08151,1.08037,1.08052,2886,1,0
2021-02-03 18:00:00,1.08052,1.08139,1.08048,1.08136,2082,3,0
2021-02-03 19:00:00,1.08138,1.08164,1.08114,1.08153,1415,3,0
2021-02-03 20:00:00,1.08153,1.08168,1.08136,1.08168,1042,2,0
2021-02-03 21:00:00,1.08168,1.08172,1.08136,1.08144,835,2,0
2021-02-03 22:00:00,1.08144,1.08175,1.0813,1.08163,1538,3,0
2021-02-03 23:00:00,1.08163,1.08195,1.08155,1.0819,898,5,0
2021-02-04 00:00:00,1.08178,1.08203,1.08132,1.08163,343,29,0
2021-02-04 01:00:00,1.08162,1.08205,1.0816,1.08181,703,1,0
2021-02-04 02:00:00,1.08181,1.08206,1.08174,1.0819,862,2,0
2021-02-04 03:00:00,1.0819,1.08217,1.0818,1.08212,1998,2,0
2021-02-04 04:00:00,1.08213,1.08216,1.0819,1.0820400000000001,1514,3,0
2021-02-04 05:00:00,1.0820400000000001,1.08215,1.08146,1.08155,895,4,0
2021-02-04 06:00:00,1.08155,1.08173,1.08148,1.0815,588,6,0
2021-02-04 07:00:00,1.0815,1.0817,1.08137,1.08147,701,6,0
2021-02-04 08:00:00,1.08147,1.08164,1.08127,1.0816,643,3,0
2021-02-04 09:00:00,1.08164,1.08177,1.08113,1.08134,1671,2,0
2021-02-04 10:00:00,1.08134,1.08208,1.08108,1.08206,2735,0,0
2021-02-04 11:00:00,1.08206,1.08206,1.08119,1.08145,2416,0,0
2021-02-04 12:00:00,1.08142,1.08161,1.08102,1.08147,1631,1,0
2021-02-04 13:00:00,1.08147,1.08199,1.0813,1.08181,1492,1,0
2021-02-04 14:00:00,1.08181,1.08205,1.08156,1.08178,2596,0,0
2021-02-04 15:00:00,1.08178,1.08198,1.0815,1.08157,2169,0,0
2021-02-04 16:00:00,1.08158,1.08232,1.08152,1.08183,2643,0,0
2021-02-04 17:00:00,1.08183,1.08213,1.08148,1.08192,3023,0,0
2021-02-04 18:00:00,1.08193,1.08205,1.08133,1.08145,2052,1,0
2021-02-04 19:00:00,1.08146,1.08164,1.08103,1.08114,1549,2,0
2021-02-04 20:00:00,1.08114,1.0815,1.0811,1.08116,1109,0,0
2021-02-04 21:00:00,1.08115,1.08182,1.08103,1.08178,1276,0,0
2021-02-04 22:00:00,1.08179,1.08179,1.08141,1.08172,974,3,0
2021-02-04 23:00:00,1.08172,1.08192,1.08159,1.08174,1140,3,0
2021-02-05 00:00:00,1.08139,1.08193,1.08107,1.08174,679,27,0
2021-02-05 01:00:00,1.08174,1.0819,1.08155,1.08182,582,4,0
2021-02-05 02:00:00,1.08182,1.08195,1.08165,1.0817,762,4,0
2021-02-05 03:00:00,1.0817,1.08178,1.08144,1.08145,1043,3,0
2021-02-05 04:00:00,1.08145,1.08163,1.08115,1.08118,899,0,0
2021-02-05 05:00:00,1.08119,1.08127,1.08109,1.08112,807,4,0
2021-02-05 06:00:00,1.08111,1.08123,1.08111,1.08116,398,5,0
2021-02-05 07:00:00,1.08116,1.08132,1.08109,1.08127,675,6,0
2021-02-05 08:00:00,1.08127,1.08145,1.08116,1.08135,699,4,0
2021-02-05 09:00:00,1.08131,1.08148,1.08107,1.08125,1217,5,0
2021-02-05 10:00:00,1.08125,1.08164,1.08084,1.08112,2577,0,0
2021-02-05 11:00:00,1.08114,1.08153,1.08074,1.08141,1854,0,0
2021-02-05 12:00:00,1.08141,1.08169,1.08108,1.08124,1839,0,0
2021-02-05 13:00:00,1.08124,1.08234,1.08105,1.08233,1970,0,0
2021-02-05 14:00:00,1.08233,1.08249,1.08199,1.0824799999999999,2362,0,0
2021-02-05 15:00:00,1.08249,1.08296,1.082,1.08277,4436,1,0
2021-02-05 16:00:00,1.08276,1.08335,1.08224,1.0826,3864,1,0
2021-02-05 17:00:00,1.08259,1.08335,1.08231,1.08266,3489,0,0
2021-02-05 18:00:00,1.08268,1.08292,1.08227,1.08274,2673,0,0
2021-02-05 19:00:00,1.08274,1.08328,1.08253,1.08321,1930,0,0
2021-02-05 20:00:00,1.08319,1.08351,1.08318,1.08333,1633,3,0
2021-02-05 21:00:00,1.08333,1.08346,1.083,1.08345,977,3,0
2021-02-05 22:00:00,1.08345,1.08345,1.08307,1.0833,1319,2,0
2021-02-05 23:00:00,1.0833,1.08343,1.08317,1.08321,878,6,0
2021-02-08 00:00:00,1.08211,1.08271,1.08203,1.0824,340,31,0
2021-02-08 01:00:00,1.0824,1.08335,1.08235,1.0832,1471,9,0
2021-02-08 02:00:00,1.08321,1.08363,1.0831,1.08333,1622,2,0
2021-02-08 03:00:00,1.08333,1.08355,1.08317,1.08322,1276,2,0
2021-02-08 04:00:00,1.08322,1.08347,1.08315,1.08337,772,3,0
2021-02-08 05:00:00,1.08338,1.0834,1.08295,1.08316,590,4,0
2021-02-08 06:00:00,1.08316,1.08319,1.08296,1.08299,442,4,0
2021-02-08 07:00:00,1.08299,1.08325,1.08298,1.08306,498,1,0
2021-02-08 08:00:00,1.08306,1.08318,1.08274,1.08314,412,5,0
2021-02-08 09:00:00,1.08314,1.08346,1.08298,1.08341,1119,2,0
2021-02-08 10:00:00,1.08341,1.08392,1.083,1.08323,1767,1,0
2021-02-08 11:00:00,1.08323,1.08381,1.08306,1.08374,1476,1,0
2021-02-08 12:00:00,1.08374,1.08384,1.08329,1.08347,1838,1,0
2021-02-08 13:00:00,1.08347,1.08373,1.08335,1.0835,1413,1,0
2021-02-08 14:00:00,1.0835,1.08459,1.08346,1.08458,1822,2,0
2021-02-08 15:00:00,1.08458,1.08459,1.08388,1.08401,2758,1,0
2021-02-08 16:00:00,1.08401,1.08411,1.08338,1.08358,2944,0,0
2021-02-08 17:00:00,1.08358,1.08382,1.0829,1.08291,2703,1,0
2021-02-08 18:00:00,1.08291,1.08302,1.08218,1.08241,2230,1,0
2021-02-08 19:00:00,1.08238,1.08285,1.08222,1.08259,1339,0,0
2021-02-08 20:00:00,1.08259,1.083,1.08249,1.0829,1388,2,0
2021-02-08 21:00:00,1.0829,1.0835,1.08289,1.08336,1285,3,0
2021-02-08 22:00:00,1.08337,1.08337,1.08295,1.0832,1051,4,0
2021-02-08 23:00:00,1.0832,1.08334,1.0828,1.0828,845,6,0
2021-02-09 00:00:00,1.0828,1.08315,1.08165,1.08257,960,25,0
2021-02-09 01:00:00,1.08258,1.08315,1.08258,1.08307,789,6,0
2021-02-09 02:00:00,1.08307,1.08331,1.08295,1.08315,879,5,0
2021-02-09 03:00:00,1.08315,1.08322,1.08285,1.08302,988,2,0
2021-02-09 04:00:00,1.08302,1.08329,1.08275,1.08292,1316,1,0
2021-02-09 05:00:00,1.08292,1.08308,1.08258,1.08275,878,3,0
2021-02-09 06:00:00,1.08275,1.08287,1.08254,1.08255,451,3,0
2021-02-09 07:00:00,1.08255,1.08268,1.08245,1.0825,544,2,0
2021-02-09 08:00:00,1.0825,1.08266,1.08233,1.08245,616,3,0
2021-02-09 09:00:00,1.08245,1.08263,1.08207,1.0822,1297,4,0
2021-02-09 10:00:00,1.0822,1.08259,1.08205,1.08235,2837,3,0
2021-02-09 11:00:00,1.08235,1.0827,1.08193,1.0820400000000001,3246,1,0
2021-02-09 12:00:00,1.08203,1.08208,1.0814,1.08153,1990,0,0
2021-02-09 13:00:00,1.08152,1.08171,1.08123,1.08162,1686,1,0
2021-02-09 14:00:00,1.08164,1.08188,1.0815,1.08168,1504,0,0
2021-02-09 15:00:00,1.08168,1.08176,1.08102,1.0812,2019,0,0
2021-02-09 16:00:00,1.0812,1.08142,1.08079,1.08119,2685,0,0
2021-02-09 17:00:00,1.0812,1.08162,1.08043,1.08064,2906,1,0
2021-02-09 18:00:00,1.08063,1.08111,1.08048,1.081,2055,4,0
2021-02-09 19:00:00,1.081,1.08103,1.08066,1.08067,1691,3,0
2021-02-09 20:00:00,1.08067,1.08085,1.08046,1.0807,849,3,0
2021-02-09 21:00:00,1.0807,1.08118,1.08057,1.08091,1373,1,0
2021-02-09 22:00:00,1.08091,1.0812599999999999,1.08091,1.08115,1202,3,0
2021-02-09 23:00:00,1.08115,1.08148,1.08105,1.08108,819,1,0
2021-02-10 00:00:00,1.08097,1.08145,1.08078,1.08142,517,10,0
2021-02-10 01:00:00,1.08142,1.08151,1.08107,1.08147,519,8,0
2021-02-10 02:00:00,1.08147,1.08152,1.08127,1.08141,781,4,0
2021-02-10 03:00:00,1.08141,1.08163,1.08129,1.08151,871,4,0
2021-02-10 04:00:00,1.08151,1.08186,1.08147,1.08166,703,5,0
2021-02-10 05:00:00,1.08166,1.08174,1.08113,1.0812,507,5,0
2021-02-10 06:00:00,1.0812,1.08135,1.08114,1.08129,419,3,0
2021-02-10 07:00:00,1.08129,1.08132,1.08105,1.08116,436,4,0
2021-02-10 08:00:00,1.08116,1.08125,1.08083,1.08108,419,5,0
2021-02-10 09:00:00,1.08108,1.08117,1.0807,1.08109,1013,4,0
2021-02-10 10:00:00,1.08111,1.08111,1.08019,1.08034,2112,0,0
2021-02-10 11:00:00,1.08034,1.08069,1.07972,1.08055,2315,1,0
2021-02-10 12:00:00,1.08055,1.08064,1.08007,1.08025,1825,2,0
2021-02-10 13:00:00,1.08025,1.08071,1.08005,1.0802,1219,2,0
2021-02-10 14:00:00,1.0802,1.08043,1.08,1.08029,1417,2,0
2021-02-10 15:00:00,1.08029,1.08046,1.07958,1.07981,3218,1,0
2021-02-10 16:00:00,1.07981,1.08001,1.07957,1.07981,2521,2,0
2021-02-10 17:00:00,1.07979,1.0804,1.07973,1.08011,3766,0,0
2021-02-10 18:00:00,1.08011,1.08038,1.07863,1.07877,2673,0,0
2021-02-10 19:00:00,1.07877,1.07954,1.07859,1.07937,1996,1,0
2021-02-10 20:00:00,1.07937,1.07951,1.07926,1.07941,1173,3,0
2021-02-10 21:00:00,1.07941,1.07949,1.07912,1.07924,1121,4,0
2021-02-10 22:00:00,1.07924,1.07924,1.07891,1.07907,1227,3,0
2021-02-10 23:00:00,1.07908,1.07917,1.0785,1.07855,799,3,0
2021-02-11 00:00:00,1.07855,1.079,1.07798,1.07893,329,29,0
2021-02-11 01:00:00,1.0789900000000001,1.07905,1.07874,1.07891,319,6,0
2021-02-11 02:00:00,1.07891,1.07905,1.07887,1.07905,325,5,0
2021-02-11 03:00:00,1.07905,1.07905,1.07864,1.07867,480,3,0
2021-02-11 04:00:00,1.07867,1.07894,1.07863,1.07884,327,5,0
2021-02-11 05:00:00,1.07884,1.07903,1.07884,1.0789,517,3,0
2021-02-11 06:00:00,1.0789,1.07906,1.07888,1.079,353,3,0
2021-02-11 07:00:00,1.0789900000000001,1.07919,1.0789,1.07911,355,2,0
2021-02-11 08:00:00,1.07911,1.07933,1.07901,1.07927,494,2,0
2021-02-11 09:00:00,1.07927,1.0795,1.0791,1.0794,811,3,0
2021-02-11 10:00:00,1.07941,1.07965,1.07912,1.07954,1782,0,0
2021-02-11 11:00:00,1.07954,1.07979,1.07928,1.07968,1461,0,0
2021-02-11 12:00:00,1.07968,1.08003,1.07948,1.07956,761,0,0
2021-02-11 13:00:00,1.07956,1.07976,1.07942,1.07957,927,0,0
2021-02-11 14:00:00,1.07958,1.08004,1.07958,1.08004,1366,1,0
2021-02-11 15:00:00,1.08004,1.08058,1.07992,1.08045,2224,0,0
2021-02-11 16:00:00,1.08046,1.0806499999999999,1.0801,1.08038,2652,0,0
2021-02-11 17:00:00,1.08038,1.08075,1.07993,1.08011,1826,0,0
2021-02-11 18:00:00,1.08012,1.08022,1.07978,1.0801,1954,0,0
2021-02-11 19:00:00,1.0801,1.08032,1.08,1.08005,2165,0,0
2021-02-11 20:00:00,1.08007,1.08048,1.07992,1.08034,1748,0,0
2021-02-11 21:00:00,1.08033,1.08036,1.07955,1.07961,1570,0,0
2021-02-11 22:00:00,1.07963,1.07981,1.07952,1.0796999999999999,912,0,0
2021-02-11 23:00:00,1.0796999999999999,1.07972,1.07933,1.07939,835,1,0
2021-02-12 00:00:00,1.07939,1.07979,1.07836,1.07959,428,28,0
2021-02-12 01:00:00,1.07961,1.07979,1.07948,1.07973,459,7,0
2021-02-12 02:00:00,1.07973,1.07989,1.07948,1.07959,1125,3,0
2021-02-12 03:00:00,1.07958,1.07975,1.07949,1.07963,683,3,0
2021-02-12 04:00:00,1.07963,1.07974,1.07946,1.07954,678,4,0
2021-02-12 05:00:00,1.07954,1.07957,1.07932,1.07932,564,4,0
2021-02-12 06:00:00,1.07932,1.0796000000000001,1.07932,1.07943,672,0,0
2021-02-12 07:00:00,1.07943,1.07989,1.07942,1.07988,678,4,0
2021-02-12 08:00:00,1.07989,1.07989,1.07953,1.07962,505,3,0
2021-02-12 09:00:00,1.07962,1.07968,1.07904,1.07914,1219,0,0
2021-02-12 10:00:00,1.07914,1.07985,1.07873,1.07976,2195,0,0
2021-02-12 11:00:00,1.07976,1.08067,1.07958,1.08047,1683,0,0
2021-02-12 12:00:00,1.08049,1.08095,1.08012,1.0806499999999999,987,0,0
2021-02-12 13:00:00,1.08064,1.08075,1.08015,1.08068,924,0,0
2021-02-12 14:00:00,1.0806499999999999,1.08074,1.08037,1.08051,829,1,0
2021-02-12 15:00:00,1.08051,1.08055,1.08004,1.08019,2081,0,0
2021-02-12 16:00:00,1.0802,1.08042,1.07989,1.08033,2523,0,0
2021-02-12 17:00:00,1.08033,1.08059,1.07993,1.08058,2463,0,0
2021-02-12 18:00:00,1.08055,1.08079,1.08016,1.08045,2205,0,0
2021-02-12 19:00:00,1.08045,1.08087,1.08045,1.08076,864,0,0
2021-02-12 20:00:00,1.08076,1.08085,1.08051,1.08078,633,0,0
2021-02-12 21:00:00,1.08078,1.08096,1.0806,1.08092,583,0,0
2021-02-12 22:00:00,1.08092,1.08092,1.08053,1.08076,579,0,0
2021-02-12 23:00:00,1.08076,1.08105,1.08069,1.08095,772,2,0
2021-02-15 00:00:00,1.07981,1.08087,1.07886,1.0807,317,36,0
2021-02-15 01:00:00,1.08078,1.0812,1.08038,1.08105,1046,7,0
2021-02-15 02:00:00,1.08105,1.08155,1.08101,1.08117,797,0,0
2021-02-15 03:00:00,1.08117,1.08136,1.08096,1.08102,859,0,0
2021-02-15 04:00:00,1.08102,1.08118,1.0808200000000001,1.08092,747,1,0
2021-02-15 05:00:00,1.08094,1.08116,1.08081,1.08108,654,2,0
2021-02-15 06:00:00,1.0811,1.0812599999999999,1.08091,1.08098,594,0,0
2021-02-15 07:00:00,1.08099,1.08137,1.08095,1.08114,479,3,0
2021-02-15 08:00:00,1.08114,1.08199,1.08114,1.08178,922,0,0
2021-02-15 09:00:00,1.08178,1.08184,1.08134,1.08141,851,0,0
2021-02-15 10:00:00,1.0814,1.08178,1.08129,1.08173,1301,0,0
2021-02-15 11:00:00,1.08174,1.08179,1.08067,1.08075,1188,0,0
2021-02-15 12:00:00,1.08073,1.08109,1.08056,1.08073,714,0,0
2021-02-15 13:00:00,1.08073,1.08085,1.0802,1.08033,732,0,0
2021-02-15 14:00:00,1.08033,1.08072,1.0802100000000001,1.08031,844,0,0
2021-02-15 15:00:00,1.08031,1.08051,1.0802,1.08029,1180,0,0
2021-02-15 16:00:00,1.08028,1.0803,1.07954,1.07969,935,0,0
2021-02-15 17:00:00,1.07969,1.07987,1.07942,1.07958,899,0,0
2021-02-15 18:00:00,1.07958,1.08011,1.07945,1.08006,949,0,0
2021-02-15 19:00:00,1.08005,1.08025,1.07973,1.07996,927,0,0
2021-02-15 20:00:00,1.07995,1.08027,1.07991,1.07996,668,5,0
2021-02-15 21:00:00,1.07996,1.08005,1.0798,1.07988,412,7,0
2021-02-15 22:00:00,1.07988,1.07999,1.07935,1.07985,595,9,0
2021-02-15 23:00:00,1.07985,1.07993,1.07933,1.07952,615,9,0
2021-02-16 00:00:00,1.07952,1.07979,1.07884,1.07944,1126,38,0
2021-02-16 01:00:00,1.07945,1.07967,1.07936,1.07966,565,5,0
2021-02-16 02:00:00,1.07967,1.0798,1.07917,1.07929,1026,3,0
2021-02-16 03:00:00,1.07928,1.07957,1.07911,1.07944,1352,0,0
2021-02-16 04:00:00,1.07945,1.0795,1.07921,1.07938,738,1,0
2021-02-16 05:00:00,1.07938,1.07947,1.07924,1.07937,789,0,0
2021-02-16 06:00:00,1.07937,1.07952,1.07929,1.0793,639,0,0
2021-02-16 07:00:00,1.07933,1.07935,1.07878,1.07893,871,0,0
2021-02-16 08:00:00,1.07893,1.0795,1.0789,1.07922,643,0,0
2021-02-16 09:00:00,1.07922,1.0795,1.07912,1.07935,812,0,0
2021-02-16 10:00:00,1.07934,1.07991,1.07933,1.07953,1851,0,0
2021-02-16 11:00:00,1.07953,1.07988,1.07911,1.07983,1400,0,0
2021-02-16 12:00:00,1.07982,1.08014,1.07956,1.07986,1104,0,0
2021-02-16 13:00:00,1.07986,1.0801,1.0793,1.08002,954,0,0
2021-02-16 14:00:00,1.08002,1.08029,1.07942,1.07965,1193,0,0
2021-02-16 15:00:00,1.07966,1.0802,1.07964,1.07985,3564,0,0
2021-02-16 16:00:00,1.07984,1.08034,1.07968,1.08006,3733,0,0
2021-02-16 17:00:00,1.08005,1.08035,1.07993,1.08008,2926,0,0
2021-02-16 18:00:00,1.08008,1.08038,1.07993,1.08034,2142,0,0
2021-02-16 19:00:00,1.08034,1.08079,1.08018,1.08053,2286,0,0
2021-02-16 20:00:00,1.08054,1.08066,1.08033,1.08047,972,0,0
2021-02-16 21:00:00,1.08046,1.08061,1.08033,1.08043,669,0,0
2021-02-16 22:00:00,1.08043,1.08076,1.08041,1.08051,501,1,0
2021-02-16 23:00:00,1.08051,1.08072,1.07983,1.07999,709,0,0
2021-02-17 00:00:00,1.0796999999999999,1.0804,1.07959,1.08028,633,41,0
2021-02-17 01:00:00,1.08019,1.08088,1.07996,1.08018,1423,2,0
2021-02-17 02:00:00,1.08018,1.08041,1.07994,1.0802100000000001,1213,1,0
2021-02-17 03:00:00,1.0802100000000001,1.08027,1.07993,1.07999,900,0,0
2021-02-17 04:00:00,1.08,1.08009,1.07979,1.07994,1173,0,0
2021-02-17 05:00:00,1.07994,1.0801,1.07982,1.07997,1233,3,0
2021-02-17 06:00:00,1.07997,1.08003,1.07978,1.07994,992,0,0
2021-02-17 07:00:00,1.07992,1.07997,1.07972,1.07986,816,0,0
2021-02-17 08:00:00,1.07988,1.08002,1.07976,1.0798,584,1,0
2021-02-17 09:00:00,1.0798,1.08091,1.07952,1.0806499999999999,2047,0,0
2021-02-17 10:00:00,1.08067,1.08113,1.08032,1.08053,2633,0,0
2021-02-17 11:00:00,1.08053,1.08099,1.07987,1.07988,2178,0,0
2021-02-17 12:00:00,1.07987,1.08046,1.07942,1.07967,1259,0,0
2021-02-17 13:00:00,1.07965,1.08035,1.07964,1.08002,1020,0,0
2021-02-17 14:00:00,1.08003,1.08051,1.08,1.0804,1052,0,0
2021-02-17 15:00:00,1.08042,1.08076,1.08002,1.08063,3846,0,0
2021-02-17 16:00:00,1.08063,1.08095,1.08044,1.08058,4354,0,0
2021-02-17 17:00:00,1.08059,1.08114,1.08043,1.0809,3181,0,0
2021-02-17 18:00:00,1.0809,1.08216,1.08085,1.08191,2802,0,0
2021-02-17 19:00:00,1.08191,1.08209,1.08164,1.08191,1485,0,0
2021-02-17 20:00:00,1.0819,1.08219,1.08166,1.08167,703,0,0
2021-02-17 21:00:00,1.08165,1.08233,1.08154,1.08226,1099,0,0
2021-02-17 22:00:00,1.08226,1.08231,1.08208,1.08231,1010,0,0
2021-02-17 23:00:00,1.08231,1.08246,1.08122,1.08123,839,0,0
2021-02-18 00:00:00,1.08112,1.08237,1.08097,1.08194,955,25,0
2021-02-18 01:00:00,1.08194,1.08244,1.08194,1.08235,505,5,0
2021-02-18 02:00:00,1.08235,1.0824,1.08194,1.08199,1155,2,0
2021-02-18 03:00:00,1.08199,1.08219,1.08195,1.08213,1197,1,0
2021-02-18 04:00:00,1.08213,1.08238,1.08202,1.0823,1183,3,0
2021-02-18 05:00:00,1.08229,1.08235,1.08203,1.08211,1102,2,0
2021-02-18 06:00:00,1.08211,1.08215,1.0819,1.08209,552,1,0
2021-02-18 07:00:00,1.08207,1.0826500000000001,1.08207,1.0826,826,0,0
2021-02-18 08:00:00,1.0826,1.08278,1.08254,1.08275,375,0,0
2021-02-18 09:00:00,1.08277,1.08285,1.08249,1.08273,1356,0,0
2021-02-18 10:00:00,1.08273,1.08281,1.08192,1.08217,1948,0,0
2021-02-18 11:00:00,1.08218,1.0827,1.08191,1.08254,1280,0,0
2021-02-18 12:00:00,1.08253,1.08316,1.08252,1.08297,895,0,0
2021-02-18 13:00:00,1.08298,1.0831,1.08272,1.08296,1033,0,0
2021-02-18 14:00:00,1.08296,1.08303,1.08263,1.08291,1669,0,0
2021-02-18 15:00:00,1.08291,1.08311,1.0826,1.08268,1815,0,0
2021-02-18 16:00:00,1.08267,1.08335,1.08266,1.08294,2919,0,0
2021-02-18 17:00:00,1.08294,1.08343,1.0827,1.08343,2941,0,0
2021-02-18 18:00:00,1.08343,1.08346,1.08308,1.08313,1595,0,0
2021-02-18 19:00:00,1.08313,1.08335,1.08298,1.08298,1341,0,0
2021-02-18 20:00:00,1.08298,1.08317,1.08294,1.08312,877,0,0
2021-02-18 21:00:00,1.08312,1.08366,1.0830899999999999,1.08331,872,0,0
2021-02-18 22:00:00,1.08331,1.08349,1.08319,1.08322,758,0,0
2021-02-18 23:00:00,1.08322,1.08359,1.08267,1.08267,805,0,0
2021-02-19 00:00:00,1.08271,1.08347,1.08257,1.08331,436,16,0
2021-02-19 01:00:00,1.08331,1.0835,1.08328,1.08343,565,3,0
2021-02-19 02:00:00,1.08343,1.08378,1.0834,1.08377,629,2,0
2021-02-19 03:00:00,1.08377,1.08378,1.08344,1.0836,954,0,0
2021-02-19 04:00:00,1.08361,1.08376,1.08345,1.08356,1381,0,0
